,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12
3255,97.74574999999987,102.89174999999994,63.74574999999993,43.557749999999885,-2.5312500000001137,-35.76825000000008,-20.13925000000006,-19.977250000000083,-32.3492500000001,-66.44825000000009,-79.40625000000011,-51.32125000000008
6403,565.7066666666667,200.41966666666667,12.357666666666717,71.61266666666671,4.6246666666667124,-78.15033333333326,-84.2473333333333,-145.23133333333328,-111.50033333333329,-84.1563333333333,-167.5483333333333,-183.8873333333333
6026,-118.19841666666665,-116.24541666666664,-116.34541666666664,-11.416416666666635,-26.76041666666663,70.90158333333335,36.47658333333334,31.648583333333363,15.336583333333351,86.19158333333337,87.00758333333334,61.40358333333336
3231,183.26758333333328,231.37658333333331,190.8675833333333,156.5835833333333,82.19858333333332,-124.74241666666671,-80.33341666666672,-99.59441666666669,-98.08741666666674,-173.37641666666673,-147.3964166666667,-120.76341666666673
4482,74.28175000000005,-6.368249999999989,-11.136249999999961,-10.796249999999986,-17.519249999999943,-21.762249999999995,-16.08624999999995,-18.183249999999987,-27.222249999999974,-26.944249999999954,-17.936249999999973,99.67275000000001
2005,22.687999999999988,20.182999999999993,18.980999999999995,21.177999999999997,14.926999999999992,8.82899999999998,-3.8440000000000225,-11.824000000000012,-15.479000000000013,-22.233000000000004,-25.089000000000027,-28.317000000000007
216,-90.79149999999998,-37.46349999999998,-84.99149999999997,-86.18449999999999,-37.0325,-80.78649999999999,-92.80649999999997,42.26750000000001,100.20150000000004,124.29650000000001,136.9985,106.29249999999999
210,100.5449166666667,125.57891666666669,111.3139166666667,123.39991666666671,0.8049166666666849,-101.76108333333332,-81.23008333333331,-27.90208333333331,-75.4300833333333,-76.62308333333331,-27.471083333333326,-71.22508333333332
714,132.61833333333337,80.60633333333337,41.35833333333338,33.01833333333337,7.459333333333376,-50.92066666666662,-67.81566666666663,-18.882666666666637,-16.836666666666616,-36.790666666666624,-86.47966666666663,-17.334666666666635
4410,99.90474999999998,10.358749999999986,13.559750000000008,37.85775000000001,-51.812250000000006,29.054750000000013,-33.49324999999999,-25.183249999999987,5.3417499999999905,-77.42624999999998,21.36975000000001,-29.532249999999976
3556,34.57574999999997,55.00975,10.420749999999998,120.12374999999997,144.40474999999998,80.75674999999995,-156.46225000000004,-104.74725000000004,-70.07425,15.218749999999943,1.6657499999999459,-130.89225000000002
4567,-8.189750000000004,-17.49275,-0.44974999999999454,23.169249999999977,34.437250000000006,29.939250000000015,-7.934750000000008,9.413250000000005,9.566249999999968,-1.7907500000000027,-25.60975000000002,-45.05775
5537,52.74725000000001,175.11224999999996,110.43925000000002,-25.02974999999998,-99.52075000000002,-29.681750000000022,-35.53275000000002,-37.84174999999999,-41.08575000000002,-49.75475,-25.677750000000003,5.826250000000016
7102,-20.98124999999999,-26.00325000000001,-28.42625000000001,-95.21725,-26.04124999999999,-25.978250000000003,-25.733249999999998,-96.04024999999999,12.576750000000004,100.62174999999999,117.93474999999998,113.28774999999999
124,-25.745499999999964,-70.19149999999996,-84.90549999999996,-23.91749999999996,-38.791499999999985,-33.507499999999965,35.40250000000003,30.754500000000007,24.69150000000002,89.90750000000003,89.25750000000005,7.0455000000000325
7404,96.74724999999995,79.62324999999993,64.66624999999993,60.20924999999994,37.240249999999946,-7.303750000000036,23.92924999999991,56.56424999999996,-66.28375000000005,-127.77275000000006,-135.24475000000007,-82.37475000000006
3842,-296.75616666666656,-300.95816666666656,-258.54416666666657,-65.83316666666656,-6.046166666666522,-26.236166666666577,2.114833333333422,221.57983333333345,122.4378333333334,209.16083333333347,184.80183333333343,214.2788333333334
